NameProvided,VariableName,CleanName,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,ell_S
Symphytum officinale,Central_height_Comfrey_[cm],Comfrey,7,7,7,8,0
Symphytum officinale,Distal_cover_Comfrey_[%],Comfrey,7,7,7,8,0
Symphytum officinale,Distal_height_Comfrey_[cm],Comfrey,7,7,7,8,0
Galium palustre,Proximal_cover_Marsh bedstraw_[%],Marsh bedstraw,6,9,5,4,0
Galium palustre,Proximal_height_Marsh bedstraw_[cm],Marsh bedstraw,6,9,5,4,0
Galium palustre,Central_cover_Marsh bedstraw_[%],Marsh bedstraw,6,9,5,4,0
Galium palustre,Central_height_Marsh bedstraw_[cm],Marsh bedstraw,6,9,5,4,0
Galium palustre,Distal_cover_Marsh bedstraw_[%],Marsh bedstraw,6,9,5,4,0
Galium palustre,Distal_height_Marsh bedstraw_[cm],Marsh bedstraw,6,9,5,4,0
Lotus pedunculatus,Proximal_cover_Marsh bird's foot trefoil_[%],Marsh birds foot trefoil,7,8,4,4,0
Lotus pedunculatus,Proximal_height_Marsh bird's foot trefoil_[cm],Marsh birds foot trefoil,7,8,4,4,0
Lotus pedunculatus,Central_cover_Marsh bird's foot trefoil_[%],Marsh birds foot trefoil,7,8,4,4,0
Lotus pedunculatus,Central_height_Marsh bird's foot trefoil_[cm],Marsh birds foot trefoil,7,8,4,4,0
Lotus pedunculatus,Distal_cover_Marsh bird's foot trefoil_[%],Marsh birds foot trefoil,7,8,4,4,0
Lotus pedunculatus,Distal_height_Marsh bird's foot trefoil_[cm],Marsh birds foot trefoil,7,8,4,4,0
Stellaria palustris,Proximal_cover_Marsh Stitchwort_[%],Marsh Stitchwort,5,8,4,2,0
Stellaria palustris,Proximal_height_Marsh Stitchwort_[cm],Marsh Stitchwort,5,8,4,2,0
Stellaria palustris,Central_cover_Marsh Stitchwort_[%],Marsh Stitchwort,5,8,4,2,0
Stellaria palustris,Central_height_Marsh Stitchwort_[cm],Marsh Stitchwort,5,8,4,2,0
Stellaria palustris,Distal_cover_Marsh Stitchwort_[%],Marsh Stitchwort,5,8,4,2,0
Stellaria palustris,Distal_height_Marsh Stitchwort_[cm],Marsh Stitchwort,5,8,4,2,0
Filipendula ulmaria,Proximal_cover_Meadow sweet_[%],Meadow sweet,6,8,6,5,0
Filipendula ulmaria,Proximal_height_Meadow sweet_[cm],Meadow sweet,6,8,6,5,0
Filipendula ulmaria,Central_cover_Meadow sweet_[%],Meadow sweet,6,8,6,5,0
Filipendula ulmaria,Central_height_Meadow sweet_[cm],Meadow sweet,6,8,6,5,0
Filipendula ulmaria,Distal_cover_Meadow sweet_[%],Meadow sweet,6,8,6,5,0
Filipendula ulmaria,Distal_height_Meadow sweet_[cm],Meadow sweet,6,8,6,5,0
Urtica dioica,Proximal_cover_Nettle_[%],Nettle,5,6,7,8,0
Urtica dioica,Proximal_height_Nettle_[cm],Nettle,5,6,7,8,0
Urtica dioica,Central_cover_Nettle_[%],Nettle,5,6,7,8,0
Urtica dioica,Central_height_Nettle_[cm],Nettle,5,6,7,8,0
Urtica dioica,Distal_cover_Nettle_[%],Nettle,5,6,7,8,0
Urtica dioica,Distal_height_Nettle_[cm],Nettle,5,6,7,8,0
Phalaris arundinacea,Proximal_cover_Reed canary grass_[%],Reed canary grass,7,8,7,7,0
Phalaris arundinacea,Proximal_height_Reed canary grass_[cm],Reed canary grass,7,8,7,7,0
Phalaris arundinacea,Central_cover_Reed canary grass_[%],Reed canary grass,7,8,7,7,0
Phalaris arundinacea,Central_height_Reed canary grass_[cm],Reed canary grass,7,8,7,7,0
Phalaris arundinacea,Distal_cover_Reed canary grass_[%],Reed canary grass,7,8,7,7,0
Phalaris arundinacea,Distal_height_Reed canary grass_[cm],Reed canary grass,7,8,7,7,0
Oenanthe aquatica,Proximal_cover_Fine-leaved water dropwort_[%],Fineleaved water dropwort,7,10,7,6,0
Oenanthe aquatica,Proximal_height_Fine-leaved water dropwort_[cm],Fineleaved water dropwort,7,10,7,6,0
Oenanthe aquatica,Central_cover_Fine-leaved water dropwort_[%],Fineleaved water dropwort,7,10,7,6,0
Oenanthe aquatica,Central_height_Fine-leaved water dropwort_[cm],Fineleaved water dropwort,7,10,7,6,0
Oenanthe aquatica,Distal_cover_Fine-leaved water dropwort_[%],Fineleaved water dropwort,7,10,7,6,0
Oenanthe aquatica,Distal_height_Fine-leaved water dropwort_[cm],Fineleaved water dropwort,7,10,7,6,0
Apium nodiflorum,Proximal_cover_Fool's water cress_[%],Fools water cress,7,10,7,7,0
Apium nodiflorum,Proximal_height_Fool's water cress_[cm],Fools water cress,7,10,7,7,0
Apium nodiflorum,Central_cover_Fool's water cress_[%],Fools water cress,7,10,7,7,0
Apium nodiflorum,Central_height_Fool's water cress_[cm],Fools water cress,7,10,7,7,0
Apium nodiflorum,Distal_cover_Fool's water cress_[%],Fools water cress,7,10,7,7,0
Apium nodiflorum,Distal_height_Fool's water cress_[cm],Fools water cress,7,10,7,7,0
Berula erecta,Proximal_cover_Water parsnip_[%],Water parsnip,7,10,7,6,0
Berula erecta,Proximal_height_Water parsnip_[cm],Water parsnip,7,10,7,6,0
Berula erecta,Central_cover_Water parsnip_[%],Water parsnip,7,10,7,6,0
Berula erecta,Central_height_Water parsnip_[cm],Water parsnip,7,10,7,6,0
Berula erecta,Distal_cover_Water parsnip_[%],Water parsnip,7,10,7,6,0
Berula erecta,Distal_height_Water parsnip_[cm],Water parsnip,7,10,7,6,0
Alisma plantago-aquatica,Proximal_cover_Water plantain_[%],Water plantain,7,10,7,7,0
Alisma plantago-aquatica,Proximal_height_Water plantain_[cm],Water plantain,7,10,7,7,0
Alisma plantago-aquatica,Central_cover_Water plantain_[%],Water plantain,7,10,7,7,0
Alisma plantago-aquatica,Central_height_Water plantain_[cm],Water plantain,7,10,7,7,0
Alisma plantago-aquatica,Distal_cover_Water plantain_[%],Water plantain,7,10,7,7,0
Alisma plantago-aquatica,Distal_height_Water plantain_[cm],Water plantain,7,10,7,7,0
Epilobium hirsutum,Proximal_cover_Great willow herb_[%],Great willow herb,7,8,7,7,0
Epilobium hirsutum,Proximal_height_Great willow herb_[cm],Great willow herb,7,8,7,7,0
Epilobium hirsutum,Central_cover_Great willow herb_[%],Great willow herb,7,8,7,7,0
Epilobium hirsutum,Central_height_Great willow herb_[cm],Great willow herb,7,8,7,7,0
Epilobium hirsutum,Distal_cover_Great willow herb_[%],Great willow herb,7,8,7,7,0
Epilobium hirsutum,Distal_height_Great willow herb_[cm],Great willow herb,7,8,7,7,0
Solanum dulcamara,Proximal_cover_Woody night shade_[%],Woody night shade,6,8,6,7,0
Solanum dulcamara,Proximal_height_Woody night shade_[cm],Woody night shade,6,8,6,7,0
Solanum dulcamara,Central_cover_Woody night shade_[%],Woody night shade,6,8,6,7,0
Solanum dulcamara,Central_height_Woody night shade_[cm],Woody night shade,6,8,6,7,0
Solanum dulcamara,Distal_cover_Woody night shade_[%],Woody night shade,6,8,6,7,0
Solanum dulcamara,Distal_height_Woody night shade_[cm],Woody night shade,6,8,6,7,0
Veronica beccabunga,Proximal_cover_Brooklime_[%],Brooklime,6,10,6,6,0
Veronica beccabunga,Proximal_height_Brooklime_[cm],Brooklime,6,10,6,6,0
Veronica beccabunga,Central_cover_Brooklime_[%],Brooklime,6,10,6,6,0
Veronica beccabunga,Central_height_Brooklime_[cm],Brooklime,6,10,6,6,0
Veronica beccabunga,Distal_cover_Brooklime_[%],Brooklime,6,10,6,6,0
Veronica beccabunga,Distal_height_Brooklime_[cm],Brooklime,6,10,6,6,0
Caltha palustris,Proximal_cover_Marsh Marigold_[%],Marsh Marigold,6,9,5,4,0
Caltha palustris,Proximal_height_Marsh Marigold_[cm],Marsh Marigold,6,9,5,4,0
Caltha palustris,Central_cover_Marsh Marigold_[%],Marsh Marigold,6,9,5,4,0
Caltha palustris,Central_height_Marsh Marigold_[cm],Marsh Marigold,6,9,5,4,0
Caltha palustris,Distal_cover_Marsh Marigold_[%],Marsh Marigold,6,9,5,4,0
Caltha palustris,Distal_height_Marsh Marigold distal_[cm],Marsh Marigold distal,6,9,5,4,0
